,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
409,2018,3,Capital Federal,1,70,1
410,2018,3,Catamarca,34,110,34
411,2018,3,Chaco,102,120,102
412,2018,3,Chubut,101,20,104
413,2018,3,Córdoba,726,940,726
414,2018,3,Corrientes,99,110,99
415,2018,3,Entre Ríos,205,480,205
416,2018,3,Formosa,45,0,45
417,2018,3,Jujuy,45,10,45
418,2018,3,La Pampa,83,2440,83
419,2018,3,La Rioja,52,170,52
420,2018,3,Mendoza,206,10,207
421,2018,3,Misiones,108,0,108
422,2018,3,Neuquén,115,20,117
423,2018,3,Río Negro,112,10,113
424,2018,3,Salta,133,10,133
425,2018,3,San Juan,64,6580,64
426,2018,3,San Luis,74,3000,74
427,2018,3,Santa Cruz,34,4340,34
428,2018,3,Santa Fe,695,2170,695
429,2018,3,Santiago Del Estero,86,20,86
430,2018,3,Tierra Del Fuego,45,5080,46
431,2018,3,Tucumán,171,310,171
432,2018,2,Buenos Aires,3,110,4
433,2018,2,Capital Federal,1,70,1
434,2018,2,Catamarca,34,110,34
435,2018,2,Chaco,99,120,99
436,2018,2,Chubut,98,20,101
437,2018,2,Córdoba,713,940,713
438,2018,2,Corrientes,98,110,98
439,2018,2,Entre Ríos,200,480,200
440,2018,2,Formosa,45,0,45
441,2018,2,Jujuy,45,10,45
442,2018,2,La Pampa,82,2440,82
443,2018,2,La Rioja,52,170,52
444,2018,2,Mendoza,199,10,201
445,2018,2,Misiones,106,0,106
446,2018,2,Neuquén,114,20,116
447,2018,2,Río Negro,111,10,112
448,2018,2,Salta,134,10,134
449,2018,2,San Juan,63,6580,64
450,2018,2,San Luis,21,3000,21
451,2018,2,Santa Cruz,34,4350,34
452,2018,2,Santa Fe,684,3090,685
453,2018,2,Santiago Del Estero,84,20,84
454,2018,2,Tierra Del Fuego,44,5080,45
455,2018,2,Tucumán,170,310,170
456,2018,1,Buenos Aires,3,110,3
457,2018,1,Capital Federal,1,70,1
458,2018,1,Catamarca,34,110,34
459,2018,1,Chaco,97,120,97
460,2018,1,Chubut,96,20,98
461,2018,1,Córdoba,714,1010,714
462,2018,1,Corrientes,94,110,94
463,2018,1,Entre Ríos,197,480,197
464,2018,1,Formosa,32,0,32
465,2018,1,Jujuy,44,10,44
466,2018,1,La Pampa,83,3960,83
467,2018,1,La Rioja,52,170,52
468,2018,1,Mendoza,199,10,201
469,2018,1,Misiones,104,0,104
470,2018,1,Neuquén,116,20,118
471,2018,1,Río Negro,110,10,111
472,2018,1,Salta,133,10,133
473,2018,1,San Juan,63,6580,63
474,2018,1,San Luis,21,3000,21
475,2018,1,Santa Cruz,34,4350,34
476,2018,1,Santa Fe,680,3090,680
477,2018,1,Santiago Del Estero,83,20,83
478,2018,1,Tierra Del Fuego,31,5080,32
479,2018,1,Tucumán,168,310,168
480,2017,4,Buenos Aires,3,110,3
481,2017,4,Capital Federal,2,70,2
482,2017,4,Catamarca,30,100,30
483,2017,4,Chaco,97,120,97
484,2017,4,Chubut,91,20,93
485,2017,4,Córdoba,710,1050,710
486,2017,4,Corrientes,94,110,94
487,2017,4,Entre Ríos,194,490,194
488,2017,4,Formosa,32,0,32
489,2017,4,Jujuy,44,10,44
490,2017,4,La Pampa,82,3960,82
491,2017,4,La Rioja,52,170,52
492,2017,4,Mendoza,179,10,180
493,2017,4,Misiones,104,0,104
494,2017,4,Neuquén,115,20,117
495,2017,4,Río Negro,109,10,110
496,2017,4,Salta,133,10,133
497,2017,4,San Juan,58,6590,59
498,2017,4,San Luis,15,3000,15
499,2017,4,Santa Cruz,29,4340,29
500,2017,4,Santa Fe,672,3230,672
501,2017,4,Santiago Del Estero,69,20,69
502,2017,4,Tierra Del Fuego,28,5080,29
503,2017,4,Tucumán,162,340,162
504,2017,3,Buenos Aires,3,110,3
505,2017,3,Capital Federal,2,70,2
506,2017,3,Catamarca,33,110,33
507,2017,3,Chaco,94,120,94
508,2017,3,Chubut,81,20,84
509,2017,3,Córdoba,697,1080,697
510,2017,3,Corrientes,93,120,93
511,2017,3,Entre Ríos,185,500,185
512,2017,3,Formosa,32,0,32
513,2017,3,Jujuy,43,10,43
514,2017,3,La Pampa,79,4100,80
515,2017,3,La Rioja,52,170,52
516,2017,3,Mendoza,191,20,192
517,2017,3,Misiones,100,0,100
518,2017,3,Neuquén,114,20,116
519,2017,3,Río Negro,106,10,107
520,2017,3,Salta,133,10,133
521,2017,3,San Juan,62,6600,62
522,2017,3,San Luis,21,3110,22
523,2017,3,Santa Cruz,33,4680,34
524,2017,3,Santa Fe,662,2560,662
525,2017,3,Santiago Del Estero,83,20,83
526,2017,3,Tierra Del Fuego,31,5830,31
527,2017,3,Tucumán,161,330,161
528,2017,2,Buenos Aires,3,110,3
529,2017,2,Capital Federal,2,80,2
530,2017,2,Catamarca,27,130,27
531,2017,2,Chaco,91,140,91
532,2017,2,Chubut,62,20,64
533,2017,2,Córdoba,658,1330,658
534,2017,2,Corrientes,90,120,90
535,2017,2,Entre Ríos,183,570,183
536,2017,2,Formosa,30,0,30
537,2017,2,Jujuy,43,10,43
538,2017,2,La Pampa,73,4490,73
539,2017,2,La Rioja,16,180,16
540,2017,2,Mendoza,169,10,171
541,2017,2,Misiones,100,0,100
542,2017,2,Neuquén,115,20,117
543,2017,2,Río Negro,101,9980,102
544,2017,2,Salta,109,10,109
545,2017,2,San Juan,51,6200,52
546,2017,2,San Luis,13,3150,13
547,2017,2,Santa Cruz,26,3690,26
548,2017,2,Santa Fe,567,3620,567
