Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2017,2,San Luis,9.51,18,5
2017,2,Santa Cruz,26.25,19,5
2017,2,Santa Fe,52.27,20,5
2017,2,Santiago Del Estero,14.12,21,5
2017,2,Tierra Del Fuego,68.46,22,5
2017,2,Tucumán,38.19,23,5
2017,1,Buenos Aires,58.57,0,5
2017,1,Capital Federal,108.37,1,5
2017,1,Catamarca,25.66,2,5
2017,1,Chaco,28.62,3,5
2017,1,Chubut,35.66,4,5
2017,1,Córdoba,57.65,5,5
2017,1,Corrientes,30.94,6,5
2017,1,Entre Ríos,44.91,7,5
2017,1,Formosa,19.84,8,5
2017,1,Jujuy,22.76,9,5
2017,1,La Pampa,62.67,10,5
2017,1,La Rioja,16.2,11,5
2017,1,Mendoza,31.84,12,5
2017,1,Misiones,29.52,13,5
2017,1,Neuquén,61.02,14,5
2017,1,Río Negro,46.03,15,5
2017,1,Salta,32.58,16,5
2017,1,San Juan,27.04,17,5
2017,1,San Luis,9.55,18,5
2017,1,Santa Cruz,26.52,19,5
2017,1,Santa Fe,51.97,20,5
2017,1,Santiago Del Estero,14.7,21,5
2017,1,Tierra Del Fuego,68.92,22,5
2017,1,Tucumán,37.9,23,5
2016,4,Buenos Aires,61.24,0,6
2016,4,Capital Federal,120.63,1,6
2016,4,Catamarca,26.54,2,6
2016,4,Chaco,28.79,3,6
2016,4,Chubut,36.07,4,6
2016,4,Córdoba,57.7,5,6
2016,4,Corrientes,30.98,6,6
2016,4,Entre Ríos,45.21,7,6
2016,4,Formosa,19.85,8,6
2016,4,Jujuy,22.65,9,6
2016,4,La Pampa,63.02,10,6
2016,4,La Rioja,16.46,11,6
2016,4,Mendoza,32.11,12,6
2016,4,Misiones,29.72,13,6
2016,4,Neuquén,60.87,14,6
2016,4,Río Negro,46.39,15,6
2016,4,Salta,32.69,16,6
2016,4,San Juan,27.29,17,6
2016,4,San Luis,9.64,18,6
2016,4,Santa Cruz,27.05,19,6
