Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,provincia_id,año_id
2019,1,Formosa,45211,0.0,45211,8,3
2019,1,Jujuy,90146,10.0,90147,9,3
2019,1,La Pampa,88892,2680.0,89160,10,3
2019,1,La Rioja,51638,180.0,51656,11,3
2019,1,Mendoza,204976,13220.0,206298,12,3
2019,1,Misiones,122720,0.0,122720,13,3
2019,1,Neuquén,112321,20560.0,114377,14,3
2019,1,Río Negro,120173,9150.0,121088,15,3
2019,1,Salta,136019,10.0,136020,16,3
2019,1,San Juan,61881,5640.0,62445,17,3
2019,1,San Luis,96044,2910.0,96335,18,3
2019,1,Santa Cruz,24580,3250.0,24905,19,3
2019,1,Santa Fe,736851,2270.0,737078,20,3
2019,1,Santiago Del Estero,89851,20.0,89853,21,3
2019,1,Tierra Del Fuego,45903,5440.0,46447,22,3
2019,1,Tucumán,171970,320.0,172002,23,3
2018,4,Buenos Aires,3626502,101040.0,3636606,0,4
2018,4,Capital Federal,1385577,34430.0,1389020,1,4
2018,4,Catamarca,33574,90.0,33583,2,4
2018,4,Chaco,103257,130.0,103270,3,4
2018,4,Chubut,77204,15180.0,78722,4,4
2018,4,Córdoba,737234,1050.0,737339,5,4
2018,4,Corrientes,100591,100.0,100601,6,4
2018,4,Entre Ríos,222003,440.0,222047,7,4
2018,4,Formosa,45204,0.0,45204,8,4
2018,4,Jujuy,90132,10.0,90133,9,4
2018,4,La Pampa,85368,2680.0,85636,10,4
2018,4,La Rioja,51633,180.0,51651,11,4
2018,4,Mendoza,204982,13220.0,206304,12,4
2018,4,Misiones,116273,0.0,116273,13,4
2018,4,Neuquén,112309,20560.0,114365,14,4
2018,4,Río Negro,115922,9150.0,116837,15,4
2018,4,Salta,134577,10.0,134578,16,4
2018,4,San Juan,61834,5640.0,62398,17,4
2018,4,San Luis,96040,2910.0,96331,18,4
2018,4,Santa Cruz,24443,3250.0,24768,19,4
2018,4,Santa Fe,720161,2290.0,720390,20,4
2018,4,Santiago Del Estero,89333,20.0,89335,21,4
2018,4,Tierra Del Fuego,45716,5440.0,46260,22,4
2018,4,Tucumán,171972,320.0,172004,23,4
2018,3,Buenos Aires,3599714,105630.0,3610277,0,4
2018,3,Capital Federal,1385804,66860.0,1392490,1,4
2018,3,Catamarca,34215,110.0,34226,2,4
2018,3,Chaco,102021,120.0,102033,3,4
2018,3,Chubut,101310,24260.0,103736,4,4
2018,3,Córdoba,725764,940.0,725858,5,4
2018,3,Corrientes,99445,110.0,99456,6,4
2018,3,Entre Ríos,204560,480.0,204608,7,4
2018,3,Formosa,44865,0.0,44865,8,4
2018,3,Jujuy,44934,10.0,44935,9,4
2018,3,La Pampa,83180,2440.0,83424,10,4
2018,3,La Rioja,51855,170.0,51872,11,4
2018,3,Mendoza,205545,14840.0,207029,12,4
2018,3,Misiones,108042,0.0,108042,13,4
2018,3,Neuquén,114713,20050.0,116718,14,4
2018,3,Río Negro,112433,10590.0,113492,15,4
2018,3,Salta,132882,10.0,132883,16,4
2018,3,San Juan,63823,6580.0,64481,17,4
2018,3,San Luis,74121,3000.0,74421,18,4
2018,3,Santa Cruz,33565,4340.0,33999,19,4
2018,3,Santa Fe,694883,2170.0,695100,20,4
2018,3,Santiago Del Estero,86358,20.0,86360,21,4
2018,3,Tierra Del Fuego,45056,5080.0,45564,22,4
2018,3,Tucumán,171135,310.0,171166,23,4
2018,2,Buenos Aires,3490134,105650.0,3500699,0,4
2018,2,Capital Federal,1362498,66880.0,1369186,1,4
2018,2,Catamarca,34078,110.0,34089,2,4
2018,2,Chaco,98509,120.0,98521,3,4
2018,2,Chubut,98137,24270.0,100564,4,4
2018,2,Córdoba,712979,940.0,713073,5,4
2018,2,Corrientes,97946,110.0,97957,6,4
2018,2,Entre Ríos,199937,480.0,199985,7,4
2018,2,Formosa,44554,0.0,44554,8,4
2018,2,Jujuy,45132,10.0,45133,9,4
2018,2,La Pampa,82177,2440.0,82421,10,4
2018,2,La Rioja,51931,170.0,51948,11,4
2018,2,Mendoza,199468,14840.0,200952,12,4
2018,2,Misiones,106147,0.0,106147,13,4
2018,2,Neuquén,113842,20060.0,115848,14,4
2018,2,Río Negro,111176,10590.0,112235,15,4
2018,2,Salta,134166,10.0,134167,16,4
2018,2,San Juan,63443,6580.0,64101,17,4
2018,2,San Luis,21168,3000.0,21468,18,4
2018,2,Santa Cruz,33970,4350.0,34405,19,4
2018,2,Santa Fe,684243,3090.0,684552,20,4
2018,2,Santiago Del Estero,83773,20.0,83775,21,4
2018,2,Tierra Del Fuego,44199,5080.0,44707,22,4
2018,2,Tucumán,169926,310.0,169957,23,4
2018,1,Buenos Aires,3464882,105640.0,3475446,0,4
2018,1,Capital Federal,1359882,66880.0,1366570,1,4
2018,1,Catamarca,33934,110.0,33945,2,4
2018,1,Chaco,96925,120.0,96937,3,4
2018,1,Chubut,95532,24270.0,97959,4,4
2018,1,Córdoba,713825,1010.0,713926,5,4
2018,1,Corrientes,94406,110.0,94417,6,4
2018,1,Entre Ríos,197346,480.0,197394,7,4
2018,1,Formosa,32328,0.0,32328,8,4
2018,1,Jujuy,44405,10.0,44406,9,4
2018,1,La Pampa,82668,3960.0,83064,10,4
2018,1,La Rioja,52228,170.0,52245,11,4
2018,1,Mendoza,199463,14840.0,200947,12,4
2018,1,Misiones,103580,0.0,103580,13,4
2018,1,Neuquén,115897,20060.0,117903,14,4
2018,1,Río Negro,110057,10620.0,111119,15,4
2018,1,Salta,133182,10.0,133183,16,4
2018,1,San Juan,62610,6580.0,63268,17,4
2018,1,San Luis,21096,3000.0,21396,18,4
2018,1,Santa Cruz,33970,4350.0,34405,19,4
2018,1,Santa Fe,679717,3090.0,680026,20,4
2018,1,Santiago Del Estero,82916,20.0,82918,21,4
2018,1,Tierra Del Fuego,31106,5080.0,31614,22,4
2018,1,Tucumán,168026,310.0,168057,23,4
2017,4,Buenos Aires,3171206,106900.0,3181896,0,5
2017,4,Capital Federal,1575418,69060.0,1582324,1,5
2017,4,Catamarca,29548,100.0,29558,2,5
2017,4,Chaco,96603,120.0,96615,3,5
2017,4,Chubut,91012,24280.0,93440,4,5
2017,4,Córdoba,709874,1050.0,709979,5,5
2017,4,Corrientes,93760,110.0,93771,6,5
2017,4,Entre Ríos,193654,490.0,193703,7,5
2017,4,Formosa,32056,0.0,32056,8,5
2017,4,Jujuy,43551,10.0,43552,9,5
2017,4,La Pampa,81675,3960.0,82071,10,5
2017,4,La Rioja,52177,170.0,52194,11,5
2017,4,Mendoza,178661,14900.0,180151,12,5
2017,4,Misiones,103895,0.0,103895,13,5
2017,4,Neuquén,114965,20060.0,116971,14,5
2017,4,Río Negro,108702,10620.0,109764,15,5
2017,4,Salta,132811,10.0,132812,16,5
2017,4,San Juan,57965,6590.0,58624,17,5
2017,4,San Luis,14604,3000.0,14904,18,5
2017,4,Santa Cruz,29018,4340.0,29452,19,5
2017,4,Santa Fe,672137,3230.0,672460,20,5
2017,4,Santiago Del Estero,68842,20.0,68844,21,5
2017,4,Tierra Del Fuego,28346,5080.0,28854,22,5
2017,4,Tucumán,162298,340.0,162332,23,5
2017,3,Buenos Aires,3046758,112020.0,3057960,0,5
2017,3,Capital Federal,1563289,70700.0,1570359,1,5
2017,3,Catamarca,33467,110.0,33478,2,5
2017,3,Chaco,93747,120.0,93759,3,5
2017,3,Chubut,81067,24770.0,83544,4,5
2017,3,Córdoba,696536,1080.0,696644,5,5
2017,3,Corrientes,92536,120.0,92548,6,5
2017,3,Entre Ríos,185414,500.0,185464,7,5
2017,3,Formosa,32105,0.0,32105,8,5
2017,3,Jujuy,43241,10.0,43242,9,5
2017,3,La Pampa,79280,4100.0,79690,10,5
2017,3,La Rioja,51896,170.0,51913,11,5
2017,3,Mendoza,190958,15330.0,192491,12,5
2017,3,Misiones,100476,0.0,100476,13,5
2017,3,Neuquén,113755,20290.0,115784,14,5
2017,3,Río Negro,106393,11030.0,107496,15,5
2017,3,Salta,132517,10.0,132518,16,5
2017,3,San Juan,61789,6600.0,62449,17,5
2017,3,San Luis,21408,3110.0,21719,18,5
2017,3,Santa Cruz,33222,4680.0,33690,19,5
2017,3,Santa Fe,662086,2560.0,662342,20,5
2017,3,Santiago Del Estero,82792,20.0,82794,21,5
2017,3,Tierra Del Fuego,30883,5830.0,31466,22,5
2017,3,Tucumán,160979,330.0,161012,23,5
